1250,1250,1250,1250,1250,1,1,1,1,1,930,930,930,1,1,1,1250,1250,1,1,
417,1,1,1,1,1,1,1,1,1,1,930,1,1,1,1,1,1,1,427,
425,1,1,1,1,1,1,1,1,1,1,930,1,1,1,1,1,1,1,419,
417,1,1,1,1,1,1,1,1,1,1,930,1,1,1,1,1,1,1,427,
425,1,1,1,1,1,1,1,1,1,1,930,1,1,1,1,1,1,1,419,
930,930,930,930,930,930,930,930,930,930,930,930,1,1,1,1,1,1,1,427,
425,1,1,930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,419,
417,418,419,930,1,1,1,1,1,1,1,1,1,1,930,930,1,1,1,427,
425,426,427,930,1,1,1,1,1,1,1,1,930,930,930,930,930,930,930,930,
417,1,1,930,1,1,1,1,1,1,1,930,930,1,1,1,1,1,1,427,
425,1,1,930,1,1,1,1,1,1,1,930,930,1,1,1,1,1,1,419,
417,1,1,930,930,930,930,930,1,1,1,1,1,1,1,1,1,1,1,427,
425,1,1,930,930,930,930,930,1,1,1,1,1,1,1,1,1,1,1,419,
930,930,930,930,1250,1,930,930,1,1,1,1,1,1,1,1,1,1,1,427,
425,1,1,1,1,1,930,930,1,1,1,1,1,1,1,1,1,1,1,419,
417,418,419,1,1,1,930,930,930,930,930,930,930,930,1,1,1,1,1,427,
425,426,427,1,1,1,1250,1250,1250,1250,1250,1250,1250,930,1,1,1,1,1,419,
417,1,1,1,1,1,1250,1250,1250,1,1,1,1250,930,1,1,1,1,1,427,
425,1,1,1,1,1,1,1,1,1,1,1,1250,930,1,1,1,1,1,419,
1,1,1,1,1,1,1,1,1,1,1,1,1,930,1,1,1,1,1,427
